county,state,year,number_of_crimes,geometry,crime_ranking
Fayette,GA,1986,2,POINT (-84.4540934 33.5201129),0.9995210727969348
Spalding,GA,1986,5,POINT (-83.9985963 32.2935267),0.9980842911877394
Perry,IL,1986,1,POINT (-90.7453794 39.7829423),1.0
Woodford,IL,1986,1,POINT (-89.028132 40.8467007),1.0
Hertford,NC,1986,3,POINT (-76.4660519 36.190158),0.9990421455938696
Rutherford,NC,1986,5,POINT (-78.7207704 35.645118),0.9980842911877394
Pembina,ND,1986,1,POINT (-97.248351 48.96913),1.0
Union,NJ,1986,28,POINT (-74.2698106 40.6964878),0.9870689655172412
Frio,TX,1986,1,POINT (-102.4074249 34.7153425),1.0
Chambers,AL,1987,7,POINT (-87.1580519 33.2417826),0.9971264367816092
Little River,AR,1987,3,POINT (-90.1003701 35.8075752),0.9990421455938696
New Haven,CT,1987,52,POINT (-72.9250518 41.3082138),0.975574712643678
Lowndes,GA,1987,10,POINT (-83.2681036 30.807456),0.9956896551724138
Iroquois,IL,1987,1,POINT (-87.5819743 40.8275356),1.0
Cheboygan,MI,1987,1,POINT (-84.47448 45.646956),1.0
Perry,MO,1987,1,POINT (-91.6751596 39.4311518),1.0
Smith,MS,1987,1,POINT (-88.4750362 32.424307),1.0
McDowell,NC,1987,1,POINT (-81.0030813 35.1010813),1.0
Columbia,NY,1987,2,POINT (-75.0427129 42.9277366),0.9995210727969348
Orange,VA,1987,2,POINT (-78.1108342 38.2454106),0.9995210727969348
Yellowstone,MT,1988,5,POINT (-111.1012064 44.6632056),0.9980842911877394
McDowell,NC,1988,5,POINT (-81.0030813 35.1010813),0.9980842911877394
Lorain,OH,1988,9,POINT (-82.1781904 41.4673238),0.9961685823754788
Freestone,TX,1988,1,POINT (-96.2480265 31.5423947),1.0
Lynn,TX,1988,1,POINT (-95.4461932 29.7356507),1.0
McDowell,NC,1989,4,POINT (-81.0030813 35.1010813),0.9985632183908046
Albany,NY,1989,7,POINT (-73.754968 42.6511674),0.9971264367816092
Cattaraugus,NY,1989,3,POINT (-78.86809 42.329229),0.9990421455938696
Milam,TX,1989,1,POINT (-93.8460903 31.4326352),1.0
Yakima,WA,1989,23,POINT (-120.510842 46.601557),0.9894636015325672
O'Brien,IA,1990,1,POINT (-95.8207615 43.189148),1.0
Iberia,LA,1990,3,POINT (-91.8187285 30.0035365),0.9990421455938696
Cass,TX,1990,4,POINT (-94.0632404 33.1951296),0.9985632183908046
Fresno,CA,1991,92,POINT (-119.78483 36.7394421),0.9564176245210728
Acadia,LA,1991,3,POINT (-90.8014815 29.7688198),0.9990421455938696
Carlton,MN,1991,1,POINT (-92.4249135 46.6638322),1.0
Franklin,MS,1991,2,POINT (-90.0020293 33.0359628),0.9995210727969348
Caswell,NC,1991,2,POINT (-78.051102 33.8960076),0.9995210727969348
Lea,NM,1991,5,POINT (-103.5332653 32.5223457),0.9980842911877394
Linn,OR,1991,6,POINT (-122.612314 45.3656761),0.9976053639846744
Chester,PA,1991,6,POINT (-75.3557458 39.849557),0.9976053639846744
Lebanon,PA,1991,1,POINT (-76.4233816 40.3429683),1.0
Suffolk,VA,1991,14,POINT (-76.5834683 36.7281341),0.9937739463601531
Pennington,MN,1992,1,POINT (-94.4799693 47.4835642),1.0
Jefferson,WI,1992,3,POINT (-88.8073273 43.0055594),0.9990421455938696
Van Zandt,TX,1993,4,POINT (-97.3816399 32.9286989),0.9985632183908046
Perry,AR,1994,1,POINT (-92.7942102 35.0461909),1.0
Marlboro,SC,1994,7,POINT (-79.7325614 34.5368242),0.9971264367816092
Garfield,CO,1995,1,POINT (-106.2913015 38.5518316),1.0
Sabine,LA,1995,3,POINT (-93.6477828 29.7567028),0.9990421455938696
Staunton,VA,1984,1,POINT (-79.072557 38.1495947),1.0
Cuyahoga,OH,1987,173,POINT (-81.4828123 41.1362729),0.9176245210727968
Adair,OK,1987,4,POINT (-95.2713584 36.4367575),0.9985632183908046
Calhoun,TX,1988,2,POINT (-96.6382297 28.6255613),0.9995210727969348
Kenosha,WI,1989,6,POINT (-87.8212263 42.5846773),0.9976053639846744
Mecklenburg,NC,1993,131,POINT (-80.7842631 35.1885576),0.9377394636015326
Hartford,CT,1995,47,POINT (-72.6908547 41.764582),0.977969348659004
Santa Cruz,AZ,1980,1,POINT (-111.90707 32.0345181),1.0
Riverside,CA,1980,95,POINT (-117.374238 33.9824949),0.9549808429118772
Polk,FL,1980,40,POINT (-81.8239676 28.1825147),0.9813218390804598
De Witt,IL,1980,2,POINT (-88.7861844 40.1811468),0.9995210727969348
Tazewell,IL,1980,3,POINT (-89.332591 40.4844833),0.9990421455938696
Stokes,NC,1980,3,POINT (-77.2646852 35.7165488),0.9990421455938696
Ashtabula,OH,1980,4,POINT (-80.7841284 41.8647873),0.9985632183908046
Johnston,OK,1980,1,POINT (-97.5148541 35.4843701),1.0
Fairfax,VA,1980,23,POINT (-77.3063733 38.8462236),0.9894636015325672
Russell,AL,1981,8,POINT (-88.2319506 31.0562907),0.996647509578544
Plumas,CA,1981,4,POINT (-120.0832574 39.756573),0.9985632183908046
Porter,IN,1981,3,POINT (-87.0741735 41.6156584),0.9990421455938696
Johnson,KS,1981,8,POINT (-101.750645 37.5705661),0.996647509578544
Pottawatomie,KS,1981,1,POINT (-94.9467313 39.3426513),1.0
Caddo,LA,1981,60,POINT (-93.9737925 32.7565317),0.9717432950191572
Platte,MO,1981,1,POINT (-94.7795799 39.3671841),1.0
Luzerne,PA,1981,13,POINT (-75.9008924 41.2857599),0.9942528735632185
Clallam,WA,1981,1,POINT (-124.2606995 48.2539902),1.0
Cowlitz,WA,1981,2,POINT (-122.8426166 46.4587191),0.9995210727969348
Holmes,FL,1982,2,POINT (-81.6339267 30.3103666),0.9995210727969348
Coffee,GA,1982,13,POINT (-82.3115156 31.507709),0.9942528735632185
Valencia,NM,1982,1,POINT (-106.701284 34.7997888),1.0
Montgomery,NY,1982,1,POINT (-74.236816 41.5275938),1.0
Washington,OH,1982,1,POINT (-83.4390843 39.5364511),1.0
Ben Hill,GA,1983,2,POINT (-84.5113194 33.6906644),0.9995210727969348
Rapides,LA,1983,21,POINT (-92.5868095 31.3635131),0.9904214559386972
Chatham,NC,1983,2,POINT (-80.7609721 35.3465823),0.9995210727969348
Montgomery,PA,1983,16,POINT (-76.8769076 41.1703592),0.992816091954023
Cheatham,TN,1983,2,POINT (-85.2755121 35.0122969),0.9995210727969348
Mecklenburg,VA,1983,4,POINT (-78.118922 36.7225833),0.9985632183908046
Pend Oreille,WA,1983,1,POINT (-117.3657999 48.8682538),1.0
Mecosta,MI,1984,1,POINT (-85.226862 43.620639),1.0
Clearwater,MN,1984,1,POINT (-94.0488721 45.4194099),1.0
Union,NJ,1984,12,POINT (-74.2698106 40.6964878),0.9947318007662836
Saline,AR,1985,2,POINT (-92.2670918 33.8734365),0.9995210727969348
Fresno,CA,1985,89,POINT (-119.78483 36.7394421),0.9578544061302682
Cass,IN,1985,3,POINT (-87.2786267 39.0869874),0.9990421455938696
Talbot,MD,1985,2,POINT (-76.0535522 38.8098373),0.9995210727969348
Cherokee,NC,1985,2,POINT (-83.3189781 35.4766377),0.9995210727969348
Orange,NC,1985,12,POINT (-78.5222311 35.1296112),0.9947318007662836
Goochland,VA,1985,2,POINT (-77.884925 37.6824439),0.9995210727969348
Platte,WY,1985,1,POINT (-106.8066068 41.4527564),1.0
Henderson,KY,1986,2,POINT (-87.5907631 37.8367513),0.9995210727969348
Davidson,NC,1986,7,POINT (-80.8485218 35.4992614),0.9971264367816092
Columbia,NY,1986,1,POINT (-75.0427129 42.9277366),1.0
Richland,OH,1986,2,POINT (-82.5973848 39.1870147),0.9995210727969348
Tillamook,OR,1986,4,POINT (-123.844429 45.455921),0.9985632183908046
Whitman,WA,1986,1,POINT (-117.3844326 47.707871),1.0
Hancock,WV,1986,1,POINT (-78.1775069 39.69287),1.0
Warren,IL,1987,1,POINT (-89.9895516 42.4964843),1.0
Acadia,LA,1987,6,POINT (-90.8014815 29.7688198),0.9976053639846744
Crawford,MO,1987,2,POINT (-92.2754622 40.474755),0.9995210727969348
Ripley,MO,1987,1,POINT (-94.3156056 39.13401),1.0
Brunswick,NC,1987,3,POINT (-78.7011356 34.2867996),0.9990421455938696
Winchester,VA,1987,1,POINT (-78.1652404 39.1852184),1.0
Douglas,GA,1988,6,POINT (-82.8498654 31.5088073),0.9976053639846744
Vance,NC,1988,5,POINT (-78.9419798 35.0905575),0.9980842911877394
Monroe,NY,1988,40,POINT (-74.1866348 41.3304767),0.9813218390804598
Wayne,WV,1988,3,POINT (-82.4423747 38.2214748),0.9990421455938696
Garfield,CO,1989,3,POINT (-106.2913015 38.5518316),0.9990421455938696
Bourbon,KY,1989,1,POINT (-84.6224415 37.0520216),1.0
Oklahoma,OK,1989,77,POINT (-97.5170536 35.4729886),0.9636015325670498
Santa Cruz,AZ,1990,1,POINT (-111.90707 32.0345181),1.0
Brantley,GA,1990,1,POINT (-84.5621431 32.3704259),1.0
Worth,GA,1990,1,POINT (-83.6757245 31.750735),1.0
Charlottesville,VA,1990,5,POINT (-78.4766781 38.029306),0.9980842911877394
Eau Claire,WI,1990,1,POINT (-91.4984941 44.811349),1.0
Braxton,WV,1990,1,POINT (-80.7292649 38.7895409),1.0
Benton,AR,1991,7,POINT (-92.586828 34.5645372),0.9971264367816092
Russell,KY,1991,1,POINT (-82.6976631 38.5173028),1.0
Rapides,LA,1991,10,POINT (-92.5868095 31.3635131),0.9956896551724138
Fulton,NY,1991,1,POINT (-74.453611 42.571111),1.0
Sweetwater,WY,1991,5,POINT (-108.183704 42.5421817),0.9980842911877394
Iredell,NC,1992,7,POINT (-78.5911234 33.9332275),0.9971264367816092
Washington,VT,1992,7,POINT (-72.4326141 44.1058361),0.9971264367816092
Outagamie,WI,1992,1,POINT (-88.4103672 44.2589232),1.0
Tulare,CA,1993,28,POINT (-119.3473421 36.2077351),0.9870689655172412
Nassau,FL,1993,6,POINT (-81.816029 30.5051365),0.9976053639846744
Coffee,GA,1993,3,POINT (-82.3115156 31.507709),0.9990421455938696
Lyon,IA,1993,1,POINT (-93.6401245 42.3468355),1.0
Canyon,ID,1993,3,POINT (-116.4126738 47.5751928),0.9990421455938696
Essex,NJ,1993,136,POINT (-74.2845925 40.8245442),0.9353448275862069
Lexington,SC,1993,8,POINT (-81.2374167 33.9804494),0.996647509578544
Pend Oreille,WA,1993,1,POINT (-117.3657999 48.8682538),1.0
New London,CT,1994,5,POINT (-72.0997804 41.3556187),0.9980842911877394
Fayette,GA,1994,1,POINT (-84.4540934 33.5201129),1.0
Tippecanoe,IN,1994,1,POINT (-86.114999 41.2089325),1.0
Scott,MO,1994,4,POINT (-92.2771296 38.618922),0.9985632183908046
Hillsborough,NH,1994,7,POINT (-71.8948666 43.1149568),0.9971264367816092
Franklin,OH,1994,108,POINT (-84.3041074 39.5589474),0.9487547892720306
Shelby,OH,1994,4,POINT (-82.6618953 40.881436),0.9985632183908046
Deschutes,OR,1994,3,POINT (-121.2586995 44.1569232),0.9990421455938696
Wayne,WV,1994,4,POINT (-82.4423747 38.2214748),0.9985632183908046
San Luis Obispo,CA,1995,9,POINT (-120.659615 35.2827525),0.9961685823754788
Decatur,IN,1995,1,POINT (-84.9291329 40.830603),1.0
Washington,LA,1995,6,POINT (-92.057063 30.6163073),0.9976053639846744
Elko,NV,1995,1,POINT (-115.7630942 40.83269),1.0
Lewis,NY,1995,1,POINT (-73.565826 44.275196),1.0
Otsego,NY,1995,1,POINT (-74.958889 42.734722),1.0
Scioto,OH,1995,5,POINT (-83.1407457 40.2803389),0.9980842911877394
Greene,VA,1982,7,POINT (-77.5150211 39.0511987),0.9971264367816092
Edgefield,SC,1984,3,POINT (-81.9295582 33.7895774),0.9990421455938696
Butler,OH,1986,11,POINT (-82.4258375 40.5886946),0.9952107279693486
Custer,OK,1986,4,POINT (-98.8831418 35.6650491),0.9985632183908046
Huntingdon,PA,1990,4,POINT (-78.0102813 40.4847959),0.9985632183908046
Marshall,WV,1990,2,POINT (-81.5359573 38.8248083),0.9995210727969348
Wilson,NC,1992,9,POINT (-77.9115243 35.7241718),0.9961685823754788
Martin,FL,1994,7,POINT (-82.190373 29.2938628),0.9971264367816092
Plaquemines,LA,1994,1,POINT (-89.9770284 29.8966836),1.0
Carroll,MO,1995,1,POINT (-90.3668338 38.52405),1.0
Franklin,FL,1980,1,POINT (-85.0279671 29.7482666),1.0
Tama,IA,1980,1,POINT (-92.5792797 41.9625958),1.0
Kane,IL,1980,15,POINT (-90.353727 39.190047),0.9932950191570882
Union,IL,1980,2,POINT (-88.5428571 42.2335612),0.9995210727969348
Orange,NC,1980,7,POINT (-78.5222311 35.1296112),0.9971264367816092
McKean,PA,1980,1,POINT (-80.141623 41.9977871),1.0
Morgan,AL,1981,9,POINT (-86.9166579 33.333723),0.9961685823754788
Webster,KY,1981,1,POINT (-86.3388635 37.888953),1.0
Hennepin,MN,1981,38,POINT (-93.2798879 44.9827372),0.98227969348659
Horry,SC,1981,8,POINT (-79.1341782 33.9368081),0.996647509578544
Montgomery,VA,1981,4,POINT (-80.3196022 37.1577332),0.9985632183908046
Walton,GA,1982,1,POINT (-81.9309906 33.4598249),1.0
Fremont,IA,1982,1,POINT (-92.4357359 41.2126553),1.0
Hughes,SD,1982,1,POINT (-98.4867341 43.707192),1.0
Weakley,TN,1982,1,POINT (-87.1886241 35.2645241),1.0
Sauk,WI,1982,1,POINT (-89.7226827 43.2715944),1.0
Decatur,GA,1983,3,POINT (-84.296069 33.7737582),0.9990421455938696
Bamberg,SC,1983,1,POINT (-81.0348202 33.2971012),1.0
Lamb,TX,1983,2,POINT (-102.3850938 31.8762254),0.9995210727969348
Prince William,VA,1983,2,POINT (-77.3007735 38.638942),0.9995210727969348
Heard,GA,1984,1,POINT (-83.6837952 32.5379252),1.0
Franklin,IN,1984,1,POINT (-86.0549863 39.4806056),1.0
Geary,KS,1984,5,POINT (-96.7749739 39.0354279),0.9980842911877394
St. Landry,LA,1984,4,POINT (-92.257905 30.8443611),0.9985632183908046
Kanabec,MN,1984,1,POINT (-93.4532322 45.8565256),1.0
Erie,NY,1984,42,POINT (-79.066983 42.6242257),0.9803639846743296
Sandusky,OH,1984,2,POINT (-82.7115813 41.4561002),0.9995210727969348
Willacy,TX,1984,1,POINT (-97.7991628 26.5172887),1.0
King William,VA,1984,2,POINT (-77.0135874 37.687363),0.9995210727969348
Rock,WI,1984,4,POINT (-89.1036638 42.628104),0.9985632183908046
Oakland,MI,1985,49,POINT (-83.1115505 42.5376509),0.9770114942528736
White,AR,1986,5,POINT (-91.9956868 33.0140144),0.9980842911877394
Shasta,CA,1986,13,POINT (-122.4919571 40.5993165),0.9942528735632185
Lincoln,CO,1986,3,POINT (-105.9855722 39.487487),0.9990421455938696
Marion,IA,1986,1,POINT (-91.5987335 42.0329753),1.0
Rockland,NY,1986,2,POINT (-74.9129403 41.9453663),0.9995210727969348
St. Lawrence,NY,1986,1,POINT (-76.1677157 44.1772711),1.0
Licking,OH,1986,1,POINT (-82.4284821 39.9767185),1.0
Colorado,TX,1986,3,POINT (-97.1341536 29.9857773),0.9990421455938696
El Paso,TX,1986,53,POINT (-106.4870404 31.7601164),0.975095785440613
Clallam,WA,1986,1,POINT (-124.2606995 48.2539902),1.0
Lamar,GA,1987,1,POINT (-84.0718475 32.01628),1.0
Scott,IN,1987,1,POINT (-85.5569295 41.7336618),1.0
Cherokee,KS,1987,1,POINT (-94.8233498 37.3449297),1.0
Wayne,MI,1987,796,POINT (-83.3863215 42.2814269),0.6192528735632183
Pender,NC,1987,4,POINT (-77.592753 36.3104307),0.9985632183908046
Clearfield,PA,1987,4,POINT (-78.4391876 41.0272796),0.9985632183908046
McCormick,SC,1987,1,POINT (-82.2938978 33.9125916),1.0
Calhoun,TX,1987,3,POINT (-96.6382297 28.6255613),0.9990421455938696
Weber,UT,1987,6,POINT (-111.943354 41.1344398),0.9976053639846744
Clarke,GA,1988,2,POINT (-83.376398 33.9597677),0.9995210727969348
Aroostook,ME,1988,3,POINT (-68.0038524 46.6985211),0.9990421455938696
Brazoria,TX,1988,3,POINT (-95.5691126 29.0444147),0.9990421455938696
Nottoway,VA,1988,2,POINT (-78.0797604 37.1285656),0.9995210727969348
St. Charles,MO,1989,3,POINT (-90.481677 38.783855),0.9990421455938696
Scotland,NC,1989,6,POINT (-77.4202475 36.1296002),0.9976053639846744
Umatilla,OR,1989,2,POINT (-119.342517 45.9173549),0.9995210727969348
Darlington,SC,1989,10,POINT (-79.8710831 34.3028537),0.9956896551724138
Independence,AR,1990,3,POINT (-91.4039148 35.675297),0.9990421455938696
Oswego,NY,1990,1,POINT (-76.5095967 43.4547284),1.0
Scioto,OH,1990,4,POINT (-83.1407457 40.2803389),0.9985632183908046
Lamar,TX,1990,2,POINT (-97.0055455 28.1394565),0.9995210727969348
Morgan,GA,1991,1,POINT (-84.5993601 31.5376731),1.0
Boundary,ID,1991,1,POINT (-116.2660294 43.5763448),1.0
Alpena,MI,1991,3,POINT (-83.4327528 45.0616794),0.9990421455938696
Dorchester,SC,1991,6,POINT (-79.9881442 32.8496198),0.9976053639846744
Haywood,TN,1991,1,POINT (-89.2705746 35.5906789),1.0
Snohomish,WA,1991,7,POINT (-122.0955144 47.9113592),0.9971264367816092
Phillips,AR,1992,6,POINT (-90.5842757 35.816464),0.9976053639846744
Chemung,NY,1992,3,POINT (-76.623736 42.0084073),0.9990421455938696
Gonzales,TX,1992,2,POINT (-97.4496293 29.5068721),0.9995210727969348
Shasta,CA,1993,13,POINT (-122.4919571 40.5993165),0.9942528735632185
New London,CT,1993,13,POINT (-72.0997804 41.3556187),0.9942528735632185
Carroll,IN,1993,1,POINT (-85.190543 41.1963024),1.0
Van Buren,MI,1993,5,POINT (-83.4841464 42.2207982),0.9980842911877394
Rankin,MS,1993,7,POINT (-89.9070243 32.2865353),0.9971264367816092
Grimes,TX,1993,2,POINT (-100.178711 32.4590098),0.9995210727969348
Thurston,WA,1993,1,POINT (-122.7559395 47.0664407),1.0
San Francisco,CA,1994,98,POINT (-122.4193286 37.7792588),0.953544061302682
Taylor,FL,1994,4,POINT (-82.2912293 30.4405083),0.9985632183908046
Linn,MO,1994,1,POINT (-91.8504515 38.4858749),1.0
Muskogee,OK,1994,6,POINT (-95.3696909 35.7478769),0.9976053639846744
Somerset,NJ,1995,1,POINT (-74.4884868 40.4976041),1.0
Kootenai,ID,1982,2,POINT (-116.513525 48.3102038),0.9995210727969348
Waynesboro,VA,1985,1,POINT (-78.8893999 38.0686668),1.0
Jefferson,IN,1987,2,POINT (-86.5900034 40.2794807),0.9995210727969348
Kern,CA,1980,89,POINT (-118.9826001 35.3821806),0.9578544061302682
Woodbury,IA,1980,1,POINT (-93.5016353 41.6265078),1.0
Worcester,MA,1980,14,POINT (-71.8018877 42.2625621),0.9937739463601531
St. Clair,MI,1980,2,POINT (-82.4864138 42.8254954),0.9995210727969348
Wilson,NC,1980,7,POINT (-77.9115243 35.7241718),0.9971264367816092
Franklin,NY,1980,2,POINT (-75.1651689 42.3406373),0.9995210727969348
Lackawanna,PA,1980,3,POINT (-75.6396334 41.4450831),0.9990421455938696
Meigs,TN,1980,3,POINT (-84.710218 35.6872945),0.9990421455938696
Washington,VT,1980,7,POINT (-72.4326141 44.1058361),0.9971264367816092
Snohomish,WA,1980,17,POINT (-122.0955144 47.9113592),0.992337164750958
Jefferson,WI,1980,3,POINT (-88.8073273 43.0055594),0.9990421455938696
Riverside,CA,1981,78,POINT (-117.374238 33.9824949),0.9631226053639846
Decatur,GA,1981,1,POINT (-84.296069 33.7737582),1.0
Rock Island,IL,1981,5,POINT (-90.5792031 41.5095446),0.9980842911877394
Shelby,IN,1981,2,POINT (-87.34783 41.1952458),0.9995210727969348
Itasca,MN,1981,1,POINT (-95.2125186 47.2538462),1.0
Mayes,OK,1981,1,POINT (-95.3240152 36.2391627),1.0
Alameda,CA,1982,147,POINT (-122.241635 37.7652076),0.9300766283524904
Perry,MO,1982,3,POINT (-91.6751596 39.4311518),0.9990421455938696
Stoddard,MO,1982,6,POINT (-90.0342608 36.7914424),0.9976053639846744
Monmouth,NJ,1982,15,POINT (-73.9815262 40.3303883),0.9932950191570882
Portage,OH,1982,2,POINT (-83.6507668 41.3267189),0.9995210727969348
Jefferson,PA,1982,1,POINT (-76.8417166 39.817332),1.0
Midland,TX,1982,16,POINT (-102.077948 31.9973662),0.992816091954023
Wise,VA,1982,2,POINT (-82.5757108 36.9759345),0.9995210727969348
Monroe,AR,1983,2,POINT (-91.1045658 34.7348192),0.9995210727969348
Otero,CO,1983,2,POINT (-104.9567165 39.5694563),0.9995210727969348
Middlesex,CT,1983,3,POINT (-72.6495107 41.5587589),0.9990421455938696
Ramsey,MN,1983,12,POINT (-93.4605008 45.2320595),0.9947318007662836
Erie,NY,1983,59,POINT (-79.066983 42.6242257),0.9722222222222222
Hamilton,TN,1983,25,POINT (-82.2615242 36.4987144),0.9885057471264368
Brooks,TX,1983,2,POINT (-98.4433576 29.34514),0.9995210727969348
Orange,VA,1983,1,POINT (-78.1108342 38.2454106),1.0
Virginia Beach,VA,1983,12,POINT (-75.9760751 36.8496579),0.9947318007662836
Webster,MO,1984,1,POINT (-90.3564329 38.592339),1.0
Steuben,NY,1984,2,POINT (-75.283127 43.320182),0.9995210727969348
McCurtain,OK,1984,10,POINT (-94.9707891 35.1498196),0.9956896551724138
Putnam,TN,1984,2,POINT (-85.4983996 36.1423085),0.9995210727969348
Johnson,AR,1985,1,POINT (-94.1654821 36.1328564),1.0
Sonoma,CA,1985,15,POINT (-122.4578582 38.2919984),0.9932950191570882
Eagle,CO,1985,1,POINT (-106.828038 39.6545407),1.0
Craven,NC,1985,5,POINT (-80.3317223 35.6284724),0.9980842911877394
McClain,OK,1985,1,POINT (-97.5902112 35.2976814),1.0
Adams,PA,1985,3,POINT (-79.6424845 40.940948),0.9990421455938696
Dallam,TX,1985,1,POINT (-96.2163488 30.4202062),1.0
Ward,TX,1985,2,POINT (-97.0275053 32.4643062),0.9995210727969348
Amherst,VA,1985,1,POINT (-79.0514134 37.5851412),1.0
Lunenburg,VA,1985,1,POINT (-78.2655525 36.9609839),1.0
San Francisco,CA,1986,119,POINT (-122.4193286 37.7792588),0.943486590038314
Houston,GA,1986,8,POINT (-85.1377196 33.1595654),0.996647509578544
Nelson,KY,1986,1,POINT (-87.0508288 37.3297661),1.0
Camden,NJ,1986,33,POINT (-75.1198911 39.9448402),0.9846743295019156
Sullivan,NY,1986,5,POINT (-75.8468569 43.0545116),0.9980842911877394
Charles Mix,SD,1986,1,POINT (-98.8426848 43.3786025),1.0
Waller,TX,1986,1,POINT (-95.9250516 30.0640003),1.0
Larimer,CO,1987,3,POINT (-104.9754049 39.7666644),0.9990421455938696
Columbia,FL,1987,2,POINT (-82.6956787 30.0738438),0.9995210727969348
Shoshone,ID,1987,2,POINT (-114.406017 42.9361293),0.9995210727969348
Martin,IN,1987,1,POINT (-87.6736335 38.1244879),1.0
Menominee,MI,1987,2,POINT (-87.614491 45.107671),0.9995210727969348
Iredell,NC,1987,10,POINT (-78.5911234 33.9332275),0.9956896551724138
Sampson,NC,1987,4,POINT (-78.3510772 34.9895739),0.9985632183908046
Pulaski,IN,1988,2,POINT (-86.6583433 40.9753183),0.9995210727969348
Auglaize,OH,1988,1,POINT (-83.9370205 40.6881845),1.0
Bedford,VA,1988,5,POINT (-79.5235083 37.3344561),0.9980842911877394
Franklin,WA,1988,8,POINT (-121.951616 47.3015647),0.996647509578544
Wood,WV,1988,1,POINT (-81.9154142 38.7714727),1.0
Crawford,AR,1989,3,POINT (-92.9104487 36.1767389),0.9990421455938696
Amador,CA,1989,1,POINT (-120.824103 38.4193553),1.0
Davis,UT,1989,1,POINT (-111.8777129 40.6807803),1.0
Cabell,WV,1989,10,POINT (-81.2314908 37.788725),0.9956896551724138
Grant,LA,1990,5,POINT (-92.9484868 30.7885279),0.9980842911877394
Somerset,MD,1990,4,POINT (-77.0969786 38.9666168),0.9985632183908046
Clarke,VA,1990,1,POINT (-78.5151022 38.0269533),1.0
Arapahoe,CO,1991,16,POINT (-102.1775371 38.8538252),0.992816091954023
Ascension,LA,1991,5,POINT (-90.8823487 30.3133277),0.9980842911877394
Sandoval,NM,1991,4,POINT (-106.6266469 35.3063088),0.9985632183908046
Oklahoma,OK,1991,66,POINT (-97.5170536 35.4729886),0.9688697318007664
Morgan,AL,1992,6,POINT (-86.9166579 33.333723),0.9976053639846744
Barry,MI,1992,2,POINT (-85.3665935 42.4819064),0.9995210727969348
Butler,AL,1993,2,POINT (-88.2219652 32.0895908),0.9995210727969348
Lawrence,AL,1993,5,POINT (-85.5310715 34.2323159),0.9980842911877394
Clay,AR,1993,1,POINT (-91.7862521 35.3967485),1.0
Columbia,NY,1993,1,POINT (-75.0427129 42.9277366),1.0
Miami,OH,1993,2,POINT (-84.7202234 39.1646113),0.9995210727969348
Comanche,OK,1993,14,POINT (-97.963924 34.3689748),0.9937739463601531
Spartanburg,SC,1993,32,POINT (-81.9320157 34.9498007),0.9851532567049808
Franklin,VA,1993,2,POINT (-76.9224609 36.6776507),0.9995210727969348
Floyd,GA,1994,4,POINT (-84.5854887 33.8470493),0.9985632183908046
York,ME,1994,2,POINT (-70.6505274 43.1439384),0.9995210727969348
Miami,OH,1994,6,POINT (-84.7202234 39.1646113),0.9976053639846744
Le Flore,OK,1994,1,POINT (-94.9753086 34.8989675),1.0
Union,AR,1995,4,POINT (-91.9212608 36.2597887),0.9985632183908046
Morgan,CO,1995,1,POINT (-106.0200249 37.3277847),1.0
Missoula,MT,1995,2,POINT (-113.995267 46.8701049),0.9995210727969348
Ulster,NY,1995,8,POINT (-74.010833 41.960556),0.996647509578544
Hardin,KY,1985,7,POINT (-88.2953134 36.7647773),0.9971264367816092
Custer,OK,1987,3,POINT (-98.8831418 35.6650491),0.9990421455938696
Gregg,TX,1990,9,POINT (-97.5904291 30.3955045),0.9961685823754788
Alcorn,MS,1991,2,POINT (-91.1392755 31.8779382),0.9995210727969348
Macomb,MI,1992,19,POINT (-82.9179487 42.6726042),0.9913793103448276
Montgomery,NY,1994,1,POINT (-74.236816 41.5275938),1.0
Cambria,PA,1994,1,POINT (-78.7790754 40.6575819),1.0
Anchorage,AK,1995,32,POINT (-149.894852 61.2163129),0.9851532567049808
San Benito,CA,1980,3,POINT (-121.0817284 36.50982),0.9990421455938696
Benton,IA,1980,1,POINT (-94.3582389 40.7033553),1.0
Winona,MN,1980,1,POINT (-91.6392294 44.0500054),1.0
Alamance,NC,1980,17,POINT (-79.4858549 36.0351361),0.992337164750958
Edgecombe,NC,1980,5,POINT (-77.5949717 34.4629453),0.9980842911877394
Crockett,TN,1980,1,POINT (-89.0428435 36.2981215),1.0
Henry,TN,1980,3,POINT (-88.4197705 36.2039488),0.9990421455938696
Tazewell,VA,1980,1,POINT (-81.5194582 37.116249),1.0
Milwaukee,WI,1980,81,POINT (-87.9090751 43.0386475),0.9616858237547892
Lawrence,AL,1981,1,POINT (-85.5310715 34.2323159),1.0
Northampton,NC,1981,1,POINT (-78.4756446 35.9506948),1.0
New London,CT,1982,5,POINT (-72.0997804 41.3556187),0.9980842911877394
Tangipahoa,LA,1982,13,POINT (-90.5120391 30.8760151),0.9942528735632185
Clay,MS,1982,3,POINT (-88.3372675 34.2701035),0.9990421455938696
Wilson,NC,1982,10,POINT (-77.9115243 35.7241718),0.9956896551724138
Brazos,TX,1982,13,POINT (-98.1219883 32.6615198),0.9942528735632185
Cherokee,TX,1982,1,POINT (-98.7088377 30.9809367),1.0
Cumberland,VA,1982,2,POINT (-78.2446058 37.4966375),0.9995210727969348
