county,state,year,number_of_crimes,geometry,crime_ranking
Marshall,KY,1998,1,POINT (-83.7629759 38.5450759),1.0
Harrison,TX,1998,4,POINT (-96.9988843 31.5226683),0.9985632183908046
Clay,WV,1998,2,POINT (-81.0851086 38.4603788),0.9995210727969348
Cochise,AZ,1999,3,POINT (-109.9211294 32.1139648),0.9990421455938696
Imperial,CA,1999,2,POINT (-115.569439 32.8475529),0.9995210727969348
Solano,CA,1999,16,POINT (-122.0538102 38.260673),0.992816091954023
Knox,IN,1999,1,POINT (-86.6233079 41.2974406),1.0
St. Landry,LA,1999,4,POINT (-92.257905 30.8443611),0.9985632183908046
Chisago,MN,1999,2,POINT (-92.8899376 45.3735757),0.9995210727969348
Greene,MO,1999,6,POINT (-94.443943 39.2536054),0.9976053639846744
Johnston,NC,1999,10,POINT (-77.3597178 35.6107324),0.9956896551724138
Centre,PA,1999,3,POINT (-77.4072089 40.3561943),0.9990421455938696
Galveston,TX,1999,18,POINT (-94.7933252 29.3056996),0.9918582375478928
Jefferson,TX,1999,20,POINT (-94.3451926 32.7573626),0.9909003831417624
Kaufman,TX,1999,8,POINT (-96.3086768 32.5867797),0.996647509578544
Skagit,WA,1999,2,POINT (-122.3629364 48.383437),0.9995210727969348
Ashley,AR,2000,1,POINT (-92.3756192 34.7589782),1.0
Reno,KS,2000,1,POINT (-95.1199698 39.0511131),1.0
Dakota,MN,2000,1,POINT (-91.3598478 43.9138856),1.0
Clark,NV,2000,114,POINT (-119.481755 39.5640019),0.94588122605364
Raleigh,WV,2000,3,POINT (-81.1742659 37.7567819),0.9990421455938696
Tehama,CA,2001,3,POINT (-122.123322 40.0271015),0.9990421455938696
Denver,CO,2001,52,POINT (-104.984862 39.7392364),0.975574712643678
Gadsden,FL,2001,7,POINT (-84.9771341 29.9171498),0.9971264367816092
Callaway,MO,2001,2,POINT (-91.9501796 38.9161525),0.9995210727969348
Elko,NV,2001,2,POINT (-115.7630942 40.83269),0.9995210727969348
Denton,TX,2001,5,POINT (-97.1330516 33.2150386),0.9980842911877394
Fayette,WV,2001,5,POINT (-81.0734346 38.0634441),0.9980842911877394
Pasco,FL,2002,14,POINT (-82.3370334 28.3247263),0.9937739463601531
Jefferson,LA,2002,47,POINT (-90.1529006 29.9665206),0.977969348659004
Chippewa,MI,2002,1,POINT (-82.9254707 42.5713728),1.0
Sequoyah,OK,2002,6,POINT (-95.5967276 36.3798606),0.9976053639846744
Mecklenburg,VA,2002,3,POINT (-78.118922 36.7225833),0.9990421455938696
Mono,CA,2003,1,POINT (-119.1445949 38.0407564),1.0
Saginaw,MI,2003,19,POINT (-83.9490365 43.4200387),0.9913793103448276
Ozark,MO,2003,4,POINT (-93.2052833 37.0207065),0.9985632183908046
Otero,NM,2003,4,POINT (-105.9288749 32.8906592),0.9985632183908046
Rockland,NY,2003,2,POINT (-74.9129403 41.9453663),0.9995210727969348
Fayette,OH,2003,1,POINT (-84.3268927 41.6733867),1.0
Campbell,VA,2003,1,POINT (-78.3022287 38.0318056),1.0
Hampton,VA,2003,10,POINT (-76.3442846 37.0264414),0.9956896551724138
Jefferson,WI,2003,1,POINT (-88.8073273 43.0055594),1.0
Madera,CA,2004,7,POINT (-120.0594685 36.9622745),0.9971264367816092
Sussex,DE,2004,1,POINT (-75.0572667 38.5480137),1.0
St. Clair,MI,2004,2,POINT (-82.4864138 42.8254954),0.9995210727969348
Telfair,GA,2005,2,POINT (-81.8237256 33.0934853),0.9995210727969348
Lancaster,NE,2005,4,POINT (-96.7262306 40.8208568),0.9985632183908046
Highland,OH,2005,1,POINT (-83.5974203 39.3445075),1.0
Marion,OH,2005,1,POINT (-83.1287349 40.5886259),1.0
Parker,TX,2005,4,POINT (-96.6220692 33.0555687),0.9985632183908046
Washington,UT,2005,2,POINT (-113.5082867 37.1305373),0.9995210727969348
Petersburg,VA,2005,10,POINT (-77.4019268 37.227928),0.9956896551724138
Dixie,FL,2006,1,POINT (-82.3025888 28.4349991),1.0
Okeechobee,FL,2006,6,POINT (-80.8287487 27.2436957),0.9976053639846744
San Juan,NM,2006,4,POINT (-108.5288693 36.7348233),0.9985632183908046
Canadian,OK,2006,3,POINT (-95.6552659 35.1773202),0.9990421455938696
Tipton,TN,2006,1,POINT (-89.8198058 35.4136951),1.0
York,VA,2006,4,POINT (-82.1254221 38.905913),0.9985632183908046
Roanoke,VA,2006,13,POINT (-79.9414313 37.270973),0.9942528735632185
Volusia,FL,2007,22,POINT (-81.5209046 29.168591),0.9899425287356322
Carroll,GA,2007,5,POINT (-84.5113203 33.7737177),0.9980842911877394
Mason,KY,2007,1,POINT (-83.0498919 37.7206484),1.0
Columbia,WI,2007,1,POINT (-90.7198643 44.5163511),1.0
Marion,WV,2007,1,POINT (-80.7714833 39.6756338),1.0
Sacramento,CA,2008,97,POINT (-121.493895 38.5810606),0.9540229885057472
Caldwell,KY,2008,1,POINT (-84.3913267 38.806734),1.0
Clinton,NY,2008,1,POINT (-73.993889 40.7652778),1.0
Licking,OH,2008,5,POINT (-82.4284821 39.9767185),0.9980842911877394
Steele,MN,2009,1,POINT (-93.2261683 43.9893777),1.0
Pontotoc,MS,2009,1,POINT (-88.998673 34.2478831),1.0
Cleveland,NC,2009,3,POINT (-80.6770111 35.7331953),0.9990421455938696
Clarke,VA,2009,2,POINT (-78.5151022 38.0269533),0.9995210727969348
Newport News,VA,2009,23,POINT (-76.42977 36.9775016),0.9894636015325672
Clayton,GA,2010,15,POINT (-83.4009933 34.8781479),0.9932950191570882
Houston,GA,2010,8,POINT (-85.1377196 33.1595654),0.996647509578544
Bossier,LA,2010,1,POINT (-93.7336536 32.515887),1.0
Cass,MI,2010,2,POINT (-83.174669 43.600852),0.9995210727969348
Butler,MO,2010,2,POINT (-94.3329016 38.2587399),0.9995210727969348
Johnston,NC,2010,10,POINT (-77.3597178 35.6107324),0.9956896551724138
Walworth,WI,2010,1,POINT (-88.5995382 42.531099),1.0
Kalkaska,MI,2011,1,POINT (-85.175887 44.734173),1.0
Clay,MO,2011,3,POINT (-92.4524133 40.2275342),0.9990421455938696
St. Francois,MO,2011,1,POINT (-90.518736 37.8564402),1.0
Rockingham,NC,2011,1,POINT (-79.7739457 34.9393201),1.0
Dade,FL,2012,198,POINT (-82.1959178 28.3647248),0.9056513409961686
Duval,FL,2012,110,POINT (-81.8052354 24.5591121),0.9477969348659004
Arapahoe,CO,2013,32,POINT (-102.1775371 38.8538252),0.9851532567049808
Caldwell,LA,2013,1,POINT (-93.7628504 32.4987706),1.0
Randolph,NC,2013,3,POINT (-80.793835 35.1742534),0.9990421455938696
Wyandot,OH,2013,2,POINT (-83.1196359 40.7314466),0.9995210727969348
Rusk,TX,2013,1,POINT (-95.1502214 31.7960064),1.0
Travis,TX,2013,39,POINT (-97.0027678 31.1354588),0.9818007662835248
Chelan,WA,2013,3,POINT (-120.0164591 47.8409698),0.9990421455938696
Juneau,AK,2012,15,POINT (-134.419734 58.3019496),0.9932950191570882
Moffat,CO,2012,1,POINT (-105.9081689 37.9995107),1.0
Hennepin,MN,2012,56,POINT (-93.2798879 44.9827372),0.9736590038314176
Venango,PA,2012,3,POINT (-80.1131125 41.7725563),0.9990421455938696
Skagit,WA,2012,2,POINT (-122.3629364 48.383437),0.9995210727969348
Ionia,MI,2014,3,POINT (-85.0711174 42.9872547),0.9990421455938696
Curry,NM,2014,2,POINT (-106.7813172 32.3271493),0.9995210727969348
