state,county,total_cost,cost_of_living_ranking,geometry
KY,Hardin,22102.247068,0.8776568085163043,POINT (-88.2953134 36.7647773)
MD,Talbot,23119.11839,0.8486863717465221,POINT (-76.0535522 38.8098373)
MN,Sibley,23934.097572,0.825467796937683,POINT (-93.9091667 44.5277778)
IN,Vigo,22533.662630000003,0.8653658755437437,POINT (-87.5372453 39.2872608)
MI,Ottawa,23462.806638,0.8388947703493873,POINT (-84.434191 42.7253498)
MS,Hancock,21270.556418,0.9013514893147114,POINT (-88.8089424 33.4567886)
CA,Monterey,34535.532779999994,0.5234352764824461,POINT (-121.8946388 36.600256)
MS,Madison,23242.076294,0.845183328533374,POINT (-90.1153638 32.4618086)
AZ,Mohave,24426.173172,0.8114486730354429,POINT (-114.5973754 34.89992)
CA,Riverside,26311.452352000004,0.7577374904148582,POINT (-117.374238 33.9824949)
GA,Chattahoochee,24193.49455,0.818077634990111,POINT (-84.4818749 33.8084389)
IA,Poweshiek,20995.256486,0.9091947228686336,POINT (-93.2829439 41.7281249)
KY,Hickman,21430.58955,0.8967921811393589,POINT (-89.1861791 36.5711721)
MA,Essex,32986.00374,0.5675810126292478,POINT (-70.7803543 42.6326501)
MO,Barton,20417.40546,0.9256575694932792,POINT (-106.2469704 35.0831016)
GA,Hancock,19688.233356,0.9464315198213044,POINT (-83.8915751 32.7906951)
KY,Webster,19920.740684000004,0.9398074379944248,POINT (-86.3388635 37.888953)
MA,Hampshire,28983.918864,0.6815995165825538,POINT (-88.5303643 42.0978028)
AL,Greene,20979.641982,0.90963957659893,POINT (-88.0853004 32.923739)
AR,Little River,20269.986194,0.9298575114445392,POINT (-90.1003701 35.8075752)
IL,Will,28282.262502000005,0.7015895495686904,POINT (-88.1762799 41.7710775)
IA,Hamilton,20825.09219,0.9140426656427956,POINT (-92.9052653 41.1693394)
IA,Plymouth,21865.757182,0.8843943525308026,POINT (-93.123087 43.2456244)
IA,Polk,22645.969078,0.8621662899322391,POINT (-93.7137441 41.7712593)
MI,Alpena,20438.486648,0.925056971157214,POINT (-83.4327528 45.0616794)
MN,Hubbard,20614.19866,0.9200509751937076,POINT (-95.0091934 46.8369472)
AL,Cherokee,21144.022234,0.9049564199460308,POINT (-87.9728143 34.7570342)
AL,Madison,23741.4767,0.8309555225447351,POINT (-86.7511427 34.6928726)
CA,Tuolumne,26730.106138000003,0.7458101375892437,POINT (-120.236629 37.9614011)
FL,Hernando,23273.770196,0.8442803763465891,POINT (-82.3745401 28.8999815)
FL,St. Johns,25539.982784,0.7797164860419523,POINT (-81.5251219 30.2570382)
KS,Doniphan,21947.582916,0.8820631556510189,POINT (-95.0814025 39.6387265)
KY,Caldwell,21283.878172,0.900971955519658,POINT (-84.3913267 38.806734)
MD,Baltimore city,22144.526526,0.8764522762041524,POINT (-76.6272228 39.3196465)
GA,Dodge,19202.623652,0.9602664317911443,POINT (-83.2290417 32.2304498)
KS,Wallace,22062.248788000004,0.8787963505769073,POINT (-101.5925304 38.9144188)
CA,Santa Cruz,43580.04912,0.2657590267226618,POINT (-122.0294673 36.9743626)
GA,Coffee,19114.322256,0.9627821188344864,POINT (-82.3115156 31.507709)
HI,Kalawao,28742.518542,0.6884769578215802,POINT (-156.9483791 21.1773815)
ID,Shoshone,21426.273976000004,0.8969151308784136,POINT (-114.406017 42.9361293)
IN,Jasper,24438.284074,0.8111036361433355,POINT (-86.9308719 38.3914228)
IA,Hardin,20796.31076,0.914862642153018,POINT (-91.4843083 43.0802589)
IA,Palo Alto,20734.06248,0.9166360817424252,POINT (-93.0478552 41.6275175)
CA,Kern,22324.682598,0.8713196699641582,POINT (-118.9826001 35.3821806)
FL,Hardee,22055.523698000005,0.8789879468884572,POINT (-81.9629666 27.6371488)
KY,Nelson,20603.009134,0.920369762289433,POINT (-87.0508288 37.3297661)
MI,Van Buren,21604.086548,0.8918492904298241,POINT (-91.0145714 36.9956066)
AL,DeKalb,20815.07549,0.914328039187819,POINT (-86.0292327 34.2715297)
AL,Escambia,20546.402970000003,0.9219824592545872,POINT (-87.3636916 31.0721361)
AZ,Pinal,26053.965528,0.7650732325017455,POINT (-110.7537196 33.3761673)
GA,Charlton,19796.137343999995,0.9433573593115824,POINT (-84.1091188 33.9159775)
IL,Fayette,22452.482548000007,0.8676786779423018,POINT (-90.1537229 39.3200466)
CO,Summit,30353.930400000005,0.6425681940160977,POINT (-87.810334 41.7880876)
MA,Hampden,25080.54872,0.7928056598764723,POINT (-72.413682 42.0641195)
MN,Crow Wing,20382.381004,0.9266554084193966,POINT (-94.2924998 46.2799671)
IN,Marion,23393.58391,0.840866910404052,POINT (-85.6591442 40.5583739)
IN,Pike,20520.534592,0.9227194435641772,POINT (-86.4819461 40.1242062)
IN,Wells,21811.608604000005,0.8859370334199019,POINT (-86.111104 40.7322633)
MD,Somerset,20599.625523999995,0.9204661605823516,POINT (-77.0969786 38.9666168)
IL,Bureau,22265.337102000005,0.8730104098859585,POINT (-89.3664786 41.2892031)
MD,Calvert,30223.77041400001,0.6462764229363039,POINT (-75.9824455 39.7003884)
MI,Shiawassee,20079.345298000004,0.9352888279777262,POINT (-84.1036507 42.902647)
GA,Barrow,23504.983634,0.837693157156723,POINT (-83.7443386 33.9917761)
GA,Jefferson,19288.749774000004,0.9578127178180526,POINT (-83.5723876 34.1170537)
GA,Lamar,20852.292378,0.9132677383638648,POINT (-84.0718475 32.01628)
MI,Calhoun,21700.075602,0.8891145837276735,POINT (-93.6263224 38.4672414)
MI,Ogemaw,20390.501084000003,0.9264240691544215,POINT (-84.3079646 44.2947968)
ID,Lemhi,23284.502332,0.8439746201897717,POINT (-113.6197746 44.851592)
IA,Decatur,20451.53682,0.9246851746726624,POINT (-93.8337588 40.7416321)
MN,Mahnomen,20810.443234,0.9144600111262992,POINT (-95.9689651 47.3151116)
FL,Franklin,20969.581694000004,0.909926191956335,POINT (-85.0279671 29.7482666)
IL,Clark,21677.36083,0.8897617225069161,POINT (-90.5778994 39.2597697)
IL,Lake,28825.328246,0.6861177278563394,POINT (-87.549847 41.1688018)
IN,Clark,22902.405142,0.8548604837629864,POINT (-87.3945392 41.6113484)
IA,Ida,20711.723004,0.9172725284224784,POINT (-95.4713576 42.3449751)
KS,Cloud,20868.87075,0.9127954242495996,POINT (-95.2969223 39.9763876)
MO,Holt,21240.743002000003,0.9022008668755028,POINT (-94.3429304 39.4540394)
FL,Marion,21122.867311999995,0.9055591189472824,POINT (-82.946522 30.4413305)
GA,Worth,20437.173958,0.9250943694020266,POINT (-83.6757245 31.750735)
IN,LaPorte,21604.005526,0.8918515987285017,POINT (-86.7397448 41.5750427)
KY,Robertson,19649.466058,0.9475359914797592,POINT (-84.0382412 38.5326655)
MN,Dodge,24379.512358,0.8127780292011324,POINT (-92.8547287 44.0280202)
AL,Baldwin,24722.399152,0.8030092610493933,POINT (-86.9169483 34.189266)
AL,Lee,23474.360154,0.8385656132598863,POINT (-86.0750377 31.4888366)
AZ,Cochise,22941.166518,0.8537561808209885,POINT (-109.9211294 32.1139648)
ID,Nez Perce,21974.110318,0.8813073958949111,POINT (-116.2295209 43.587761)
MI,Arenac,20516.663022,0.9228297437284734,POINT (-83.8580446 44.0055756)
MS,Bolivar,19132.804092,0.962255575456142,POINT (-91.0531635 33.659834)
AR,Carroll,19195.521792,0.9604687621958146,POINT (-93.5844917 36.3798693)
IL,Sangamon,23539.375972,0.8367133271311948,POINT (-88.8559084 39.866703)
IN,Montgomery,20523.360114,0.922638945073688,POINT (-87.0461181 38.6625493)
IN,Porter,24054.764751999995,0.8220300159394911,POINT (-87.0741735 41.6156584)
IA,Delaware,20772.480128,0.9155415715343505,POINT (-91.3454214 42.4752682)
KY,Anderson,20945.545676,0.9106109727389192,POINT (-87.1702802 36.6958768)
MI,Midland,22068.87756,0.8786074983436577,POINT (-84.2472117 43.6155825)
MN,Cottonwood,20816.963014,0.9142742640507782,POINT (-95.674187 44.608846)
MS,Carroll,19683.759648,0.9465589747626882,POINT (-88.4592095 33.9773321)
MS,Tishomingo,19439.895948,0.9535065970905556,POINT (-88.2317103 34.6367608)
CA,Tulare,22642.331958,0.8622699106684173,POINT (-119.3473421 36.2077351)
ID,Clearwater,22404.194936,0.8690543812195449,POINT (-115.8909742 46.0223931)
IN,Hamilton,27921.716534,0.711861423642197,POINT (-84.9123697 41.5335996)
MO,Clark,21941.110768,0.8822475457015021,POINT (-92.3426781 39.2811499)
CO,Custer,22367.679484,0.8700946982885772,POINT (-103.598806 43.766651)
GA,Decatur,19229.90478,0.9594891985496976,POINT (-84.296069 33.7737582)
IL,Calhoun,23176.835112000004,0.8470420352320733,POINT (-88.0436473 38.6503262)
IA,Monona,20718.256138,0.9170864008944808,POINT (-91.3896122 43.0527391)
KS,Ellsworth,20880.469646,0.9124649742940376,POINT (-98.2281126 38.7305648)
KS,Lane,21667.009634,0.8900566257682451,POINT (-95.0821916 38.4397392)
KY,Clay,19748.988944,0.9447006066934732,POINT (-87.8200159 37.4767119)
AR,Chicot,19172.536464,0.9611236090550483,POINT (-91.2865023 33.2056751)
CA,Madera,25549.493214,0.7794455360161157,POINT (-120.0594685 36.9622745)
CO,Hinsdale,23451.53575,0.8392158754303145,POINT (-87.9299841 41.8024604)
CO,Lincoln,22800.549016,0.8577623420355692,POINT (-96.7077751 40.8088861)
FL,Taylor,20476.451512,0.9239753606641355,POINT (-82.2912293 30.4405083)
ID,Kootenai,23531.64181,0.8369336716785736,POINT (-116.513525 48.3102038)
IL,Richland,22825.722512,0.8570451547589056,POINT (-89.0071134 40.5029601)
IA,Montgomery,20321.953588000004,0.9283769720002696,POINT (-95.2027748 43.4407966)
KY,Floyd,19534.460496,0.9508124742460752,POINT (-84.6524445 37.2509114)
MD,Caroline,21601.681248,0.8919178168894212,POINT (-75.7711823 39.0696337)
